Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,Away_P1,Away_P2,Away_P3,Away_P4,Away_P5,Away_P6,Away_P7,Away_P8,Away_P9,Away_P10,Home_P1,Home_P2,Home_P3,Home_P4,Home_P5,Home_P6,Home_P7,Home_P8,Home_P9,Home_P10,Diff_P1,Diff_P2,Diff_P3,Diff_P4,Diff_P5,Diff_P6,Diff_P7,Diff_P8,Diff_P9,Diff_P10
Fri Mar 12 2021,9:00p,Orlando Magic,,San Antonio Spurs,,,2.57,1.07,1,0.47,-0.05,-0.34,-0.77,-2.52,-2.98,-3.45,1.59,0.95,0.6,0.43,-0.28,-0.38,-0.61,-1.39,-1.56,-1.77,0.98,0.12,0.4,0.04,0.23,0.04,-0.16,-1.13,-1.42,-1.68
Fri Mar 12 2021,10:00p,Houston Rockets,,Utah Jazz,,,3.53,1.5,0.62,0.61,0.5,-0.1,-0.39,-0.48,-1.8,-5.51,4.07,2.86,2.08,1,0.83,0.79,0.77,-0.31,-1.48,-2.87,-0.54,-1.36,-1.46,-0.39,-0.33,-0.89,-1.16,-0.17,-0.32,-2.64
Fri Mar 12 2021,10:30p,Indiana Pacers,,Los Angeles Lakers,,,1.38,1.37,1.15,0.71,0.54,0.53,0.28,-0.38,-1.35,-4.09,9.58,2.53,2.37,2.34,2.08,1.87,1.38,-0.58,-0.82,-2.05,-8.2,-1.16,-1.22,-1.63,-1.54,-1.34,-1.1,0.2,-0.53,-2.04
Sat Mar 13 2021,2:00p,New York Knicks,,Oklahoma City Thunder,,,1,0.93,0.13,0.03,-0.53,-0.62,-0.67,-1.5,-1.84,-3.84,1.37,1.11,0.38,0.1,-0.1,-1.03,-1.51,-2.57,-3.53,-4.39,-0.37,-0.18,-0.25,-0.07,-0.43,0.41,0.84,1.07,1.69,0.55
Sat Mar 13 2021,7:00p,Detroit Pistons,,Brooklyn Nets,,,2.46,0.39,0.23,0.2,-0.91,-1,-1.85,-2.09,-2.29,-3.94,8,7.49,3.5,3.28,-0.41,-1.07,-1.16,-1.62,-1.84,-2.12,-5.54,-7.1,-3.27,-3.08,-0.5,0.07,-0.69,-0.47,-0.45,-1.82
Sat Mar 13 2021,7:00p,Toronto Raptors,,Charlotte Hornets,,,5.21,3.21,2.04,1.92,1.21,0.89,0.49,-0.07,-0.07,-3.95,2.11,1.9,1,-0.32,-0.55,-1.2,-1.31,-1.98,-2.54,-2.96,3.1,1.31,1.04,2.24,1.76,2.09,1.8,1.91,2.47,-0.99
Sat Mar 13 2021,7:00p,Milwaukee Bucks,,Washington Wizards,,,10.3,3.63,3.11,2.83,2.8,2.08,-1.3,-1.4,-1.75,-1.9,3.04,1.81,1.5,1.16,0.79,0.6,-1.8,-2.28,-2.84,-4,7.26,1.82,1.61,1.67,2.01,1.48,0.5,0.88,1.09,2.1
Sat Mar 13 2021,7:30p,Sacramento Kings,,Atlanta Hawks,,,1.43,1.42,-0.15,-0.29,-0.56,-0.6,-0.87,-1,-1.02,-2.04,2.42,1.82,1.6,1.51,0.97,0.5,0.42,-1.21,-2.32,-3.53,-0.99,-0.4,-1.75,-1.8,-1.53,-1.1,-1.29,0.21,1.3,1.49
Sat Mar 13 2021,8:00p,Portland Trail Blazers,,Minnesota Timberwolves,,,3.14,2.36,2.3,1.37,-1.07,-1.49,-1.68,-1.76,-1.76,-2.83,2.44,2.12,1.37,1,0.51,0.24,-0.15,-1.29,-1.78,-6.59,0.7,0.24,0.93,0.37,-1.58,-1.73,-1.53,-0.47,0.02,3.76
Sat Mar 13 2021,10:00p,Dallas Mavericks,,Denver Nuggets,,,6.28,3.24,1.48,1.3,0.98,0.27,0.13,0.13,-0.1,-1.73,6.08,2,1.54,1.41,-0.25,-0.25,-0.43,-1,-2.75,-3.52,0.2,1.24,-0.06,-0.11,1.23,0.52,0.56,1.13,2.65,1.79
